SECOND_FLD,review-count
12347_26929,0.0
12347_26938,0.0
12347_26940,371.0
12347_26946,21.0
12347_26948,0.0
12347_26977,0.0
12347_27002,146.0
12347_27011,2.0
12347_27013,6.0
12347_27015,0.0
12347_27016,4.0
12347_27018,0.0
12347_27037,13.0
12347_27039,10.0
12347_27049,0.0
12348_26927,1.0
12348_26929,67.0
12348_26936,0.0
12348_26939,55.0
12348_26940,1.0
12348_26941,40.0
12348_26943,0.0
12348_26944,111.0
12348_26946,1.0
12348_26951,0.0
12348_26995,0.0
12348_27011,0.0
12348_27012,0.0
12348_27015,21.0
12348_27016,5.0
12348_27017,13.0
12348_27018,17.0
12348_27019,0.0
12348_27020,467.0
12348_27021,184.0
12348_27022,31.0
12348_27026,4.0
12348_27035,0.0
12348_27036,13.0
12348_27040,0.0
12348_27052,0.0
12349_26936,0.0
12349_26938,59.0
12349_26939,920.0
12349_26940,1596.0
12349_26941,4230.0
12349_26942,2.0
12349_26943,23.0
12349_26946,11.0
12349_26950,0.0
12349_26962,0.0
12349_26971,3.0
12349_26985,0.0
12349_26989,32.0
12349_26990,0.0
12349_26991,1.0
12349_26996,12.0
12349_27009,0.0
12349_27010,0.0
12349_27018,86.0
12349_27019,0.0
12349_27023,0.0
12349_27036,0.0
12349_27040,1.0
12350_26921,2.0
12350_26925,124.0
12350_26938,201.0
12350_26939,27853.0
12350_26940,1083.0
12350_26941,280.0
12350_26942,9.0
12350_26943,17.0
12350_26944,18.0
12350_26950,0.0
12350_26953,3.0
12350_26956,1.0
12350_26978,0.0
12350_26984,2.0
12350_26995,22.0
12350_27008,0.0
12350_27011,3.0
12350_27012,0.0
12350_27018,0.0
12350_27019,1.0
12350_27020,23.0
12350_27023,9.0
12350_27024,90.0
12350_27025,1.0
12350_27026,37.0
12350_27027,10.0
12350_27031,0.0
12350_27032,5.0
12350_27034,161.0
12351_26923,103.0
12351_26934,0.0
12351_26937,2624.0
12351_26938,24.0
12351_26939,2100.0
12351_26940,222.0
12351_26941,0.0
12351_26942,62.0
12351_26950,380.0
12351_26951,22.0
12351_26952,0.0
12351_26966,0.0
12351_26982,0.0
12351_26983,95.0
12351_26998,20.0
12351_27004,14.0
12351_27005,374.0
12351_27008,0.0
12351_27015,0.0
12351_27018,0.0
12351_27019,32.0
12351_27020,0.0
12351_27024,1.0
12351_27027,1.0
12351_27032,81.0
12351_27034,0.0
12352_26923,3.0
12352_26935,1.0
12352_26938,3.0
12352_26939,22.0
12352_26940,1909.0
12352_26941,7.0
12352_26942,0.0
12352_26943,5.0
12352_26950,36.0
12352_26951,847.0
12352_26989,28.0
12352_26990,1833.0
12352_26993,2.0
12352_26994,68.0
12352_26995,50.0
12352_26999,1.0
12352_27002,29.0
12352_27003,18.0
12352_27005,30.0
12352_27006,9.0
12352_27007,0.0
12352_27008,1.0
12352_27016,1.0
12352_27018,69.0
12352_27024,0.0
12352_27026,24.0
12352_27027,0.0
12352_27034,0.0
12353_26939,0.0
